Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
WY,489,2.0,9.0,4.319e-05,0.00095496
WHR,490,2.0,15.0,6.32e-05,0.00285193
WMB,491,2.0,14.0,9.018e-05,0.00030013
WTW,492,2.0,6.0,3.274e-05,0.00029126
GWW,493,2.0,9.0,3.965e-05,0.04974519
WYNN,494,2.0,13.0,0.00010278,0.00090683
XEL,495,2.0,15.0,2.016e-05,0.00095058
XYL,496,2.0,15.0,3.723e-05,0.03398895
YUM,497,2.0,9.0,4.425e-05,0.00235997
ZBRA,498,2.0,9.0,7.245e-05,0.12568303
ZBH,499,2.0,8.0,3.331e-05,0.00071053
ZION,500,2.0,8.0,4.73e-05,0.004736
ZTS,501,2.0,14.0,3.088e-05,0.01464094
